driver_id,customer_id,booking_date,booking_from_long,booking_from_lat,booking_to_long,booking_to_lat,booking_status,original_rate_cost,amount_cust_discount,is_rush_hour_price
540174052,545753354,8/23/2016 10:29:46,106.8452989,-6.218910826,106.8581923,-6.225292208,completed,15000,9000,1
540254714,553222774,8/23/2016 12:33:46,106.7836641,-6.177951614,106.7385691,-6.243046416,completed,33000,13000,0
540207676,542712739,8/23/2016 0:31:23,106.8254402,-6.2343818,106.8305752,-6.2184753,cancelled,15000,11000,0
540290076,542535004,8/23/2016 2:45:50,106.9590282,-6.259601225,106.8890762,-6.2655975,completed,38000,15000,0
540247670,543694108,8/23/2016 6:46:42,106.7861445,-6.200580835,106.7553933,-6.134917762,completed,33000,18000,0
540183600,550435762,8/23/2016 1:40:08,106.7696113,-6.160077545,106.7516753,-6.1308246,cancelled,16000,6000,0
540274437,546008930,8/23/2016 2:40:55,107.0037309,-6.203592658,107.000973,-6.226233,completed,15000,9000,0
540219142,545376737,8/23/2016 9:13:02,106.78521,-6.290960004,106.7427104,-6.2863,completed,29000,12000,1
540469023,544584670,8/23/2016 15:05:53,107.127016,-6.327040837,107.1403926,-6.3342823,cancelled,15000,9000,0
540190458,548056975,8/23/2016 15:25:09,106.8217069,-6.207766051,106.737943,-6.256701,cancelled,43000,17000,0
540178991,550216058,8/23/2016 12:05:41,106.7126831,-6.296683998,106.6817301,-6.282553857,completed,15000,9000,0
540239167,544854867,8/23/2016 12:29:46,106.8354384,-6.216623028,106.8206924,-6.216185,completed,15000,10000,0
540198831,554116391,8/23/2016 12:31:19,106.804124,-6.166667974,106.777316,-6.178103945,completed,15000,6000,0
540401606,550354447,8/23/2016 8:37:07,106.8145112,-6.214355886,106.7969048,-6.2073,completed,15000,9000,0
540355715,549117091,8/23/2016 4:38:31,106.8376361,-6.317118,106.844994,-6.25562,cancelled,23000,9000,0
540296016,542565686,8/23/2016 1:17:03,106.8040529,-6.2305006,106.787804,-6.245971,completed,15000,9000,0
540297101,544530986,8/23/2016 8:58:06,106.7747873,-6.296122465,106.7738342,-6.390607,cancelled,33000,13000,0
540290811,551281737,8/23/2016 11:42:43,106.8266123,-6.187715063,106.821714,-6.180205,cancelled,15000,7000,1
540449234,542997055,8/23/2016 2:39:44,106.6908821,-6.216543,106.7413402,-6.2198187,completed,21000,11000,0
540460869,545403952,8/23/2016 3:40:43,107.0263735,-6.289430685,107.0475682,-6.2766859,completed,15000,7000,0
540413412,542897273,8/23/2016 0:03:16,106.8703648,-6.4043486,106.8335135,-6.3700138,cancelled,20000,11000,0
540242957,544668767,8/23/2016 12:51:09,106.9045003,-6.225536517,106.903053,-6.213886,completed,15000,9000,0
540257594,542903401,8/22/2016 22:48:35,106.774621,-6.289517998,106.764606,-6.355898093,completed,22000,12000,0
540187141,552445494,8/22/2016 22:42:43,106.6387465,-6.3344629,106.685782,-6.31505,completed,27000,10000,0
540438212,554295669,8/23/2016 4:17:09,106.8032073,-6.319490033,106.7904504,-6.3107272,completed,15000,11000,0
540257994,542789386,8/23/2016 10:39:28,106.8227201,-6.187949056,106.8085499,-6.184750148,completed,19000,10000,1
540420521,550091028,8/23/2016 13:15:06,106.6770312,-6.314713,106.6135701,-6.2515549,completed,32000,12000,0
540245809,544900818,8/23/2016 14:02:24,106.7820279,-6.28624506,106.773595,-6.3801133,completed,34000,19000,0
540222223,548197489,8/23/2016 5:25:16,106.8974209,-6.311405929,106.8286612,-6.259251951,completed,34000,14000,0
540403160,553011471,8/22/2016 23:15:41,106.793374,-6.554620907,106.800767,-6.53082,cancelled,15000,7000,0
540193771,545060773,8/23/2016 8:46:18,106.7150921,-6.203405003,106.8475832,-6.1728801,completed,46000,18000,0
540226733,553384718,8/23/2016 9:46:24,106.8905665,-6.227758616,106.9395799,-6.2374199,completed,23000,10000,1
540299559,547636697,8/23/2016 6:05:13,106.8276553,-6.443509567,106.8175773,-6.4038739,completed,15000,6000,0
540441096,542899862,8/23/2016 12:13:04,106.80142,-6.292736928,106.7912859,-6.331759076,completed,20000,11000,0
540244820,550968058,8/23/2016 12:43:37,106.7450222,-6.276281151,106.7632974,-6.264701675,completed,15000,10000,0
540281985,547336108,8/23/2016 8:59:34,106.7617441,-6.179460259,106.8338299,-6.157499,completed,30000,12000,0
540231259,550582601,8/23/2016 3:32:31,106.8494969,-6.302850484,106.822585,-6.328501,completed,19000,8000,0
540467523,546176308,8/23/2016 0:40:12,106.8227596,-6.208376342,106.8573531,-6.244005618,completed,22000,8000,0
540451718,543921697,8/23/2016 4:42:36,106.8483818,-6.196291057,106.732773,-6.138468,completed,51000,27000,0
540441903,545125965,8/23/2016 14:04:04,106.8188634,-6.304208474,106.7534879,-6.301814077,completed,28000,11000,0
540170109,544906953,8/23/2016 3:54:28,106.847856,-6.1950404,106.8555585,-6.185469,completed,15000,9000,0
540208592,552365313,8/23/2016 10:20:58,106.875806,-6.177458954,106.840709,-6.176729,completed,17000,7000,1
540290526,548749225,8/23/2016 3:12:30,106.8993561,-6.1102402,106.814679,-6.137586,completed,29000,11000,0
540432486,553989066,8/23/2016 0:16:54,106.8140418,-6.222361835,106.8121022,-6.1812967,cancelled,16000,6000,0
540217390,548159525,8/23/2016 3:53:11,106.7196451,-6.195797081,106.7611299,-6.1426177,cancelled,30000,12000,0
540228886,549878174,8/23/2016 0:34:28,106.8175856,-6.320162,106.8036407,-6.2267114,cancelled,37000,14000,0
540332969,551001415,8/23/2016 7:38:42,106.9805899,-6.266179077,107.054616,-6.259253,completed,26000,10000,0
540204790,548791403,8/23/2016 9:49:15,106.8613499,-6.187913057,106.869011,-6.192577888,completed,15000,7000,1
540198694,551661006,8/23/2016 2:57:34,106.81579,-6.170461,106.8201585,-6.1806106,completed,15000,11000,0
540192664,545869526,8/23/2016 12:10:42,106.7951879,-6.130650455,106.7862959,-6.1178212,completed,15000,12000,0
540242515,543248167,8/22/2016 23:53:51,106.907269,-6.223069,106.827296,-6.254546,completed,35000,19000,0
540468560,542535768,8/23/2016 10:45:36,106.6201526,-6.220230704,106.6056512,-6.211811755,completed,15000,8000,1
540218039,545106080,8/23/2016 11:31:03,106.8268486,-6.223824357,106.8242214,-6.212805344,completed,15000,7000,1
540473000,550406861,8/23/2016 10:09:16,106.7461728,-6.191728255,106.787963,-6.197940976,completed,22000,9000,1
540192725,543609315,8/23/2016 1:46:57,106.8285351,-6.175175976,106.8304332,-6.1666265,cancelled,15000,10000,0
540232154,544159042,8/23/2016 7:00:14,106.8001021,-6.2067837,106.817885,-6.2869019,completed,38000,20000,0
540223199,543915098,8/23/2016 9:43:26,106.9094308,-6.15276001,106.9518855,-6.2106907,completed,36000,15000,1
540400652,543784374,8/23/2016 13:38:20,106.8706826,-6.32316931,106.9270066,-6.3033511,completed,30000,12000,0
540275502,547612770,8/23/2016 3:16:04,106.7767246,-6.6021906,106.79697,-6.58528,cancelled,15000,9000,0
540402542,553438690,8/23/2016 0:23:41,106.8251159,-6.622619137,106.7985228,-6.6028256,completed,15000,8000,0
540247842,544022578,8/23/2016 13:13:22,106.7999769,-6.238198056,106.8012647,-6.265986445,cancelled,15000,7000,0
540202911,553530534,8/23/2016 9:56:28,106.8141903,-6.238881302,106.806836,-6.2790739,completed,27000,12000,1
540321516,542688508,8/23/2016 13:29:27,106.8180342,-6.202617051,106.8148806,-6.252223748,completed,21000,11000,0
540180251,544942483,8/23/2016 9:31:59,106.782886,-6.191784,106.7756252,-6.2091284,completed,15000,6000,1
540215651,544812828,8/23/2016 10:32:09,106.7345341,-6.336017083,106.7371231,-6.339468982,completed,15000,7000,1
540212415,546647400,8/23/2016 4:23:59,106.8647546,-6.286052436,106.8624114,-6.313771,cancelled,15000,8000,0
540243862,546918184,8/22/2016 23:33:06,106.7971519,-6.207408076,106.8014109,-6.226825049,completed,15000,8000,0
540199779,550657296,8/23/2016 12:02:52,106.990909,-6.252440048,107.079617,-6.225750495,completed,37000,14000,0
